ntrees,lr,folds,block,image
75,0.75,F4,0.30226276934157614,0.05963594336896849
75,0.75,F5,0.32048681541582147,0.022114644075255763
75,0.75,F6,0.22008930862803466,0.37230250793856523
75,0.75,F7,0.28775003958410306,0.11214425374755599
75,0.75,F8,0.2655566175360934,0.2746223564954683
75,0.75,A,0.3085820015497868,0.12919197186109366
75,0.75,T,0.2690621755681163,0.16927068644593601
100,0.005,F1,0.5377073906485671,0.13238198381856403
100,0.005,F2,0.3746987306518129,0.025836656840645067
100,0.005,F3,0.5266099261689909,0.030376363505020598
100,0.005,F4,0.2889982594081988,0.012770875469517495
100,0.005,F5,0.3424789153410911,0.02084937836945755
100,0.005,F6,0.42945131653236157,0.3800142570150995
100,0.005,F7,0.42903889797857175,0.086682598305453
100,0.005,F8,0.25836309673524827,0.17256797583081573
100,0.005,A,0.3984183166831053,0.10768501114432162
100,0.005,T,0.28304879455531207,0.15051610355914036
100,0.01,F1,0.4634528367560041,0.13075746958017453
100,0.01,F2,0.31760484173316905,0.019117392058262572
100,0.01,F3,0.33726415094339623,0.02698114570541066
100,0.01,F4,0.28245603505191763,0.014273331407107737
100,0.01,F5,0.3316963809117113,0.017878754538453112
100,0.01,F6,0.23168916491300107,0.3800142570150995
100,0.01,F7,0.2792526521349026,0.08568325005431243
100,0.01,F8,0.25821218371145427,0.17933534743202417
100,0.01,A,0.3127035307694445,0.10675511847385559
100,0.01,T,0.2710231860652901,0.1480060917141407
100,0.025,F1,0.4465135166492633,0.12836847805313112
100,0.025,F2,0.32226447431846184,0.008149817929599457
100,0.025,F3,0.3290094339622641,0.02611428158636131
100,0.025,F4,0.2795750555188764,0.019763074255995328
100,0.025,F5,0.32422333724778474,0.016173396413246777
100,0.025,F6,0.22609454396140227,0.3732745771498931
100,0.025,F7,0.27592758748086765,0.08555290028242446
100,0.025,F8,0.25816187937018964,0.17776435045317218
100,0.025,A,0.30772122856363876,0.10439510951547797
100,0.025,T,0.2669858115122852,0.14208359185515262
100,0.05,F1,0.4434389140271493,0.1284321844938523
100,0.05,F2,0.3209254994376306,0.007109415640714434
100,0.05,F3,0.3210110746513536,0.025644730188542963
100,0.05,F4,0.28173579016865735,0.018607338919387484
100,0.05,F5,0.32358279064801965,0.01485311915502252
100,0.05,F6,0.21926807986449726,0.3733393817639816
100,0.05,F7,0.2746081173800602,0.08876819465565933
100,0.05,F8,0.2588661401478948,0.18731117824773413
100,0.05,A,0.3054295507906578,0.10550819288311185
100,0.05,T,0.2666685892259776,0.14213999661571441
100,0.075,F1,0.44575936883629186,0.13024781805440533
100,0.075,F2,0.3204970274757646,0.009667071267556837
100,0.075,F3,0.3201394585726005,0.02752293577981646
100,0.075,F4,0.2985415041113979,0.020572088991620885
100,0.075,F5,0.32336927511476465,0.018593904719991228
